land,population,christians,muslims,unaf,hindu,buddhist,folk,other,jewish
Afghanistan,31410000,0.1 ,99.7 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 
Albania,3200000,18.0,80.3,1.4, 0.1, 0.1, 0.1,0.2, 0.1
Algeria,35470000,0.2,97.9,1.8, 0.1, 0.1, 0.1, 0.1, 0.1
American Samoa,70000,98.3, 0.1,0.7, 0.1,0.3,0.4,0.3, 0.1
Andorra,80000,89.5,0.8,8.8,0.5, 0.1, 0.1,0.1,0.3
Angola,19080000,90.5,0.2,5.1, 0.1, 0.1,4.2, 0.1, 0.1
Anguilla,20000,90.6,0.3,4.0,0.4, 0.1,2.9,1.6,0.1
Antigua and Barbuda,90000,93.0,0.6,1.7,0.2, 0.1,3.6,1.0, 0.1
Argentina,40410000,85.2,1.0,12.2, 0.1, 0.1,0.8,0.3,0.5
Armenia,3090000,98.5, 0.1,1.3, 0.1, 0.1, 0.1,0.1, 0.1
Aruba,110000,91.9,0.2,6.0, 0.1,0.1,1.3,0.1,0.4
Australia,22270000,67.3,2.4,24.2,1.4,2.7,0.7,0.8,0.5
Austria,8390000,80.4,5.4,13.5, 0.1,0.2, 0.1,0.1,0.2
Azerbaijan,9190000,3.0,96.9, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
Bahamas,340000,96.0,0.1,3.1, 0.1, 0.1,0.3,0.3, 0.1
Bahrain,1260000,14.5,70.3,1.9,9.8,2.5, 0.1,0.2,0.6
Bangladesh,148690000,0.2,89.8, 0.1,9.1,0.5,0.4, 0.1, 0.1
Barbados,270000,95.2,1.0,1.9,0.4, 0.1, 0.1,1.4, 0.1
Belarus,9600000,71.2,0.2,28.6, 0.1, 0.1, 0.1, 0.1, 0.1
Belgium,10710000,64.2,5.9,29.0, 0.1,0.2,0.2, 0.1,0.3
Belize,310000,87.6,0.1,8.9,0.2,0.5,1.5,0.1,1.0
Benin,8850000,53.0,23.8,5.0, 0.1, 0.1,18.1, 0.1, 0.1
Bermuda,60000,75.0,1.1,19.4, 0.1,0.5,3.0,0.8,0.3
Bhutan,730000,0.5,0.2, 0.1,22.6,74.7,1.9, 0.1, 0.1
Bolivia,9930000,93.9, 0.1,4.1, 0.1, 0.1,0.9,1.0, 0.1
Bosnia-Herzegovina,3760000,52.3,45.2,2.5, 0.1, 0.1, 0.1, 0.1, 0.1
Botswana,2010000,72.1,0.4,20.6,0.3, 0.1,6.0,0.6, 0.1
Brazil,194950000,88.9, 0.1,7.9, 0.1,0.1,2.8,0.2, 0.1
British Virgin Islands,20000,84.5,1.2,3.9,1.2, 0.1,8.4,0.8, 0.1
Brunei,400000,9.4,75.1,0.4,0.3,8.6,6.2,0.1, 0.1
Bulgaria,7490000,82.1,13.7,4.2, 0.1, 0.1, 0.1, 0.1, 0.1
Burkina Faso,16470000,22.5,61.6,0.4, 0.1, 0.1,15.4, 0.1, 0.1
Burma (Myanmar),47960000,7.8,4.0,0.5,1.7,80.1,5.8,0.2, 0.1
Burundi,8380000,91.5,2.8, 0.1, 0.1, 0.1,5.7, 0.1, 0.1
Cambodia,14140000,0.4,2.0,0.2, 0.1,96.9,0.6, 0.1, 0.1
Cameroon,19600000,70.3,18.3,5.3, 0.1, 0.1,3.3,2.7, 0.1
Canada,34020000,69.0,2.1,23.7,1.4,0.8,1.2,0.9,1.0
Cape Verde,500000,89.1,0.1,9.1, 0.1, 0.1,1.5,0.2, 0.1
Cayman Islands,60000,83.5,0.4,9.4,0.9, 0.1,4.5,0.6,0.8
Central African Republic,4400000,89.5,8.5,1.0, 0.1, 0.1,1.0, 0.1, 0.1
Chad,11230000,40.6,55.3,2.5, 0.1, 0.1,1.4,0.1, 0.1
Channel Islands,150000,85.2, 0.1,14.2, 0.1, 0.1, 0.1,0.3, 0.1
Chile,17110000,89.4, 0.1,8.6, 0.1, 0.1,1.5,0.2,0.1
China,1341340000,5.1,1.8,52.2, 0.1,18.2,21.9,0.7, 0.1
Colombia,46290000,92.5, 0.1,6.6, 0.1, 0.1,0.8, 0.1, 0.1
Comoros,730000,0.5,98.3,0.1, 0.1, 0.1,1.0, 0.1, 0.1
Cook Islands,20000,96.0, 0.1,3.2, 0.1, 0.1, 0.1,0.8, 0.1
Costa Rica,4660000,90.9, 0.1,7.9, 0.1, 0.1,0.8,0.3, 0.1
Croatia,4400000,93.4,1.4,5.1, 0.1, 0.1, 0.1, 0.1, 0.1
Cuba,11260000,59.2, 0.1,23.0,0.2, 0.1,17.4, 0.1, 0.1
Cyprus,1100000,73.2,25.3,1.2, 0.1,0.2, 0.1, 0.1, 0.1
Czech Republic,10490000,23.3, 0.1,76.4, 0.1, 0.1, 0.1, 0.1, 0.1
Dem. Rep. of the Congo,65970000,95.8,1.5,1.8, 0.1, 0.1,0.7,0.1, 0.1
Denmark,5550000,83.5,4.1,11.8,0.4,0.2, 0.1, 0.1, 0.1
Djibouti,890000,2.3,96.9,0.2, 0.1, 0.1,0.3, 0.1,0.2
Dominica,70000,94.4,0.1,0.5, 0.1,0.1,3.0,1.7, 0.1
Dominican Republic,9930000,88.0, 0.1,10.9, 0.1, 0.1,0.9,0.1, 0.1
